news_organization_name,ranking_date,ranking,article_title,reporter_name,article_section,monthly_article_count
서울신문,20240801,6,결승전 도중 코 푼 오상욱에 “매너도 좋네” 칭찬 쏟아졌다,하승연 기자,세계,184
서울신문,20240801,7,심판 노려보고 모욕한 프랑스…구본길은 ‘공손 전략’ 택했다,김민지 기자,세계,93
서울신문,20240801,8,"30분 만에 경기 끝냈다…안세영 “지면 끝이란 생각, 숨 막히네요” 심경",김민지 기자,세계,93
서울신문,20240801,9,“어느 팀이길래” 美야구장이 ‘김치’로 도배됐다…선수들도 “김치”,윤예림 기자,세계,0
서울신문,20240801,10,"예비신부 살해 후 예비신랑에 사진 보낸 50대男, 숨진 채 발견",권윤희 기자,사회,189
서울신문,20240802,1,구독자 모으려 택시기사 때린 ‘폭행 문신남’… 성관계 영상도 올리더니 결국,이정수 기자,사회,168
서울신문,20240802,2,"“해리스, 갑자기 흑인 돼”… ‘인종 정체성’ 건드렸다 역풍 맞은 트럼프",이재연 기자,세계,49
서울신문,20240802,3,"“성노예로 쓰고 죽여야겠어” 쯔양, 충격 녹취 공개… 가세연 “여론 선동”",이정수 기자,사회,168
서울신문,20240802,4,야구중계 중 “여자라면 먹고 싶어”… 이기호 캐스터 대기발령,이정수 기자,사회,168
서울신문,20240802,5,"신유빈도 “흐름 끊는 느낌”…日히라노, ‘5분 환복’ 이유 밝혔다",윤예림 기자,세계,0
서울신문,20240802,6,"“센강서 수영한 선수, 구토 10번 해” 생중계된 장면에 ‘충격’",윤예림 기자,세계,0
서울신문,20240802,7,[속보]청라아파트 전기차 화재 피해 규모 ‘눈덩이’,한상봉 기자,사회,41
서울신문,20240802,8,"예비신부 살해 후 예비신랑에 사진 보낸 50대男, 숨진 채 발견",권윤희 기자,사회,189
서울신문,20240802,9,“애도 아니고 왜 우냐” 자국팬들도 혀 내두른 日선수…패배 후 결국,윤예림 기자,세계,0
서울신문,20240802,10,“43년만에 처음” 프로야구 취소됐다… 전국 폭염특보 발효 비상,이정수 기자,사회,168
서울신문,20240803,1,“일본 가려고 바꿔뒀는데”…엔화 팔까? 한 달 만에 가격 ‘껑충’,류재민 기자,세계,121
서울신문,20240803,2,“남자 죽이고 싶다”더니 외할머니 살해한 19세女…다정히 머리 쓰다듬는데 흉기[전국부 사건창고],이천열 기자,사회,47
서울신문,20240803,3,“미안함도 없다”…‘일본도 살해’ 30대 ‘신상 비공개’ 이유는,김유민 기자,사회,0
서울신문,20240803,4,"“세리머니 예의없다?”…‘김민종에 한판패’ 日, 황당 깎아내리기",김민지 기자,세계,93
